home_team,away_team,home_norm_points,away_norm_points,neutral,knockout_home_win_prob,knockout_away_win_prob,home_win_prob,away_win_prob,tie_prob
England,Turkey,94.34562480397868,67.55589408127605,1,0.9218264331089134,0.07817356689108665,0.8549889010607076,0.07250554946964627,0.07250554946964625
England,Romania,94.34562480397868,65.06743133652942,1,0.9368269783635897,0.0631730216364103,0.8811613531367154,0.059419323431642294,0.059419323431642294
England,Slovakia,94.34562480397868,64.47421479456965,1,0.9399843878609738,0.06001561213902613,0.8867646637431699,0.05661766812841507,0.05661766812841507
England,Slovenia,94.34562480397868,61.453470137550966,1,0.953888279578132,0.04611172042186796,0.9118416904778156,0.044079154761092226,0.044079154761092226
England,Albania,94.34562480397868,56.7274519467718,1,0.9696683317016347,0.030331668298365293,0.9411225157264956,0.029438742136752218,0.029438742136752218
England,Georgia,94.34562480397868,53.0229849007572,1,0.978245835335154,0.02175416466484604,0.9574180063714606,0.021290996814269703,0.021290996814269703
Portugal,Netherlands,90.15278462296698,89.63125588063981,1,0.5120063346271376,0.4879936653728623,0.3440917434946464,0.3279541282526768,0.3279541282526768
Portugal,Spain,90.15278462296698,88.30592768493212,1,0.5424232101968848,0.4575767898031153,0.3721404004177053,0.3139297997911474,0.3139297997911474
Portugal,Italy,90.15278462296698,88.04605941126394,1,0.5483575133417117,0.4516424866582883,0.37774969965507293,0.3111251501724635,0.3111251501724635
Portugal,Croatia,90.15278462296698,87.7297369953851,1,0.5555623166714859,0.4444376833285142,0.3846218657154295,0.3076890671422852,0.3076890671422853
Portugal,Germany,90.15278462296698,80.84233164568306,0,0.4486395455247094,0.5513604544752906,0.30969715476199317,0.3806056904760136,0.30969715476199317
Portugal,Switzerland,90.15278462296698,78.3511806084502,1,0.7478103273454577,0.2521896726545423,0.5972021201549758,0.20139893992251212,0.20139893992251212
Portugal,Denmark,90.15278462296698,77.12442313723733,1,0.7685170339222065,0.23148296607779348,0.6240581925139344,0.18797090374303282,0.18797090374303282
